grouping_key,clube_id,nome,slug,apelido,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,RB,FC,GC,CA,CV,SG,DD,DP,GS,FS,PI,A,FT,FD,FF,G,I,PP
Flamengo,262,Pedro Rocha Neves,pedro-rocha,Pedro Rocha,5,6,0,3.22,-0.08,0.8,5,0,2,0,0,0,0,0,0,0,1,15,1,0,0,0,0,0,0
Flamengo,262,Victor Vinícius Coelho dos Santos,vitinho,Vitinho,5,6,1,6.43,0.18,2.55,18,0,19,0,2,0,0,0,0,0,10,89,2,0,12,15,1,2,0
Flamengo,262,Michael Richard Delgado de Oliveira,michael,Michael,5,6,0,5.09,-0.13,0.97,15,0,13,0,1,0,0,0,0,0,8,38,1,0,3,9,0,0,0
Flamengo,262,Pedro Guilherme Abreu dos Santos,pedro,Pedro,5,6,2,5.5,0.33,4.09,18,0,18,0,1,0,0,0,0,0,18,37,0,0,15,8,7,4,1
Flamengo,262,Lincoln Corrêa dos Santos,lincoln,Lincoln,5,6,0,3.78,0,1.88,12,0,2,0,1,0,0,0,0,0,1,15,1,0,8,0,1,0,0
Flamengo,262,Gabriel Batista de Souza,gabriel-batista,Gabriel Batista,1,6,0,1.56,0,-0.9,3,0,0,0,0,0,0,2,0,5,1,12,0,0,0,0,0,0,0
Flamengo,262,Gerson Santos da Silva,gerson,Gerson,4,7,7.6,10.45,0.12,3.47,19,0,40,0,5,0,0,0,0,0,70,78,2,0,6,10,1,3,0
Flamengo,262,Matheus França Silva,matheuzinho,Matheuzinho,2,6,0,2.37,0,2.2,8,0,4,0,1,0,1,0,0,0,2,26,1,0,3,2,0,0,0
Flamengo,262,João Lucas de Almeida Carvalho,joao-lucas,João Lucas,2,6,0,4.17,0,3.55,2,0,6,0,1,0,1,0,0,0,7,12,0,0,0,1,0,0,0
Flamengo,262,Matheus Soares Thuler,thuler,Thuler,3,6,0,2.2,0,-0.28,4,0,3,0,1,0,0,0,0,0,3,11,0,0,0,0,0,0,0
Flamengo,262,Rogério Ceni,rogerio-ceni,Rogério Ceni,6,7,4.31,7.99,0.08,3.36,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flamengo,262,Gabriel Barbosa Almeida,gabriel,Gabriel,5,7,15.4,14.23,2.35,6.55,12,0,3,0,2,0,0,0,0,0,11,66,0,1,11,17,7,9,0
Flamengo,262,Giorgian Daniel de Arrascaeta Benedetti,arrascaeta,Arrascaeta,4,7,0.4,16.56,-0.33,5.88,13,0,11,0,0,0,0,0,0,0,14,133,3,1,8,11,4,0,0
Flamengo,262,Mauricio Aníbal Isla Isla,isla,Isla,2,7,0.6,8.29,-0.88,3.06,15,0,19,0,3,0,3,0,0,0,8,115,5,0,0,0,0,6,0
Flamengo,262,Hugo de Souza Nogueira,hugo-souza,Hugo Souza,1,6,0,1.42,0,0.71,9,0,0,0,0,0,1,9,0,15,0,46,0,0,0,0,0,0,0
Flamengo,262,João Pedro Vilardi Pinto,pepe,Pepê,4,6,4,2.12,0.59,1.9,2,0,1,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0
Flamengo,262,Ramon Ramos Lima,ramon,Ramon,2,6,0,1.25,0,-0.1,3,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0
Flamengo,262,Rodrigo Muniz Carvalho,rodrigo-muniz,Rodrigo Muniz,5,6,0,1.83,0,1.13,7,0,7,0,1,0,0,0,0,0,8,6,0,0,1,1,1,2,0
Flamengo,262,Gabriel Rodrigues Noga,gabriel-noga,Gabriel Noga,3,6,0,0.78,0,-0.35,2,0,1,0,1,0,0,0,0,0,1,7,0,0,0,0,0,0,0
Flamengo,262,José Ítalo Monteiro Fidelis dos Santos,italo,Ítalo,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flamengo,262,João Fernando Monteiro Siqueira,joao-fernando,João Fernando,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flamengo,262,Vinicius Milani Bueno,milani,Milani,3,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flamengo,262,Otávio Ataide da Silva,otavio,Otávio,3,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flamengo,262,Yuri de Oliveira,yuri-de-oliveira,Yuri de Oliveira,4,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flamengo,262,João Victor Gomes da Silva,gomes,Gomes,4,7,-2.2,0.85,-1.09,1.5,2,0,9,0,2,0,0,0,0,0,4,5,0,1,0,0,0,0,0
Flamengo,262,Lázaro Vinicius Marques,lazaro,Lázaro,5,6,0,2.35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flamengo,262,Dhouglas Francisco de Souza Rodrigues,dhouglas,Dhouglas,4,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flamengo,262,Daniel Cabral de Oliveira,daniel-cabral,Daniel Cabral,4,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flamengo,262,Guilherme da Silva Gonçalves,guilherme-bala,Guilherme Bala,5,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flamengo,262,Natan Bernardo de Souza,natan,Natan,3,7,5.2,4.88,1.13,3.76,8,0,6,0,3,0,1,0,0,0,2,28,1,1,1,2,1,0,0
Flamengo,262,Gabriel de Sousa Barros,gabriel-barros,Gabriel Barros,4,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flamengo,262,Thiago Fernandes Rodrigues,thiago-fernandes,Thiago Fernandes,5,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flamengo,262,Richard Rios Montoya,richard-rios,Richard Rios,4,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botafogo,263,Keisuke Honda,honda,Honda,4,7,5.2,6.35,1,2.94,16,0,21,0,1,0,0,0,0,0,10,84,0,0,5,10,2,0,0
Botafogo,263,Roberto Junior Fernández Torres,gatito-fernandez,Gatito Fernández,1,5,0,14.9,0,5.6,8,0,0,0,1,0,3,13,0,7,0,62,0,0,0,0,0,0,0
Botafogo,263,Cícero Santos,cicero,Cícero,4,6,0,4.72,0,0.67,3,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0
Botafogo,263,José Welison da Silva,jose-welison,José Welison,4,7,8.2,4.83,1.44,3.12,6,0,6,0,0,0,0,0,0,0,6,17,1,0,0,3,0,0,0
Botafogo,263,Diego Cavalieri,diego-cavalieri,Diego Cavalieri,1,7,-6.5,3.65,-0.73,-0.08,13,0,1,0,2,0,1,10,1,20,1,91,0,0,0,0,0,0,0
Botafogo,263,Bruno dos Santos Nazário,bruno-nazario,Bruno Nazário,4,3,1.2,6.88,-0.46,2.65,17,0,24,0,3,0,0,0,0,0,24,137,2,1,10,11,1,0,0
Botafogo,263,Salomon Armand Magloire Kalou,kalou,Kalou,5,7,-0.2,6.72,-0.48,1.66,15,0,14,0,0,0,0,0,0,0,15,61,1,0,4,5,1,1,0
Botafogo,263,Luiz Otávio Alves Marcolino,luiz-otavio,Luiz Otávio,4,6,0,1.83,0,0.38,14,0,8,0,0,0,0,0,0,0,3,15,0,0,3,1,0,0,0
Botafogo,263,Saulo Ferreira Silva Nascimento,saulo,Saulo,1,6,0,1.04,0,-2.8,1,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0
Botafogo,263,Márcio Almeida de Oliveira,marcinho,Marcinho,2,6,0,4.79,0,0.2,2,0,0,0,0,0,0,0,0,0,1,21,0,0,0,0,0,0,0
Botafogo,263,Federico Barrandeguy Martino,barrandeguy,Barrandeguy,2,6,0,3.22,0,1.89,8,0,4,0,2,0,2,0,0,0,6,49,0,0,0,0,0,0,0
Botafogo,263,Guilherme Oliveira Santos,guilherme-santos,Guilherme Santos,2,5,0,6.24,0,1.99,12,0,17,0,3,0,3,0,0,0,10,59,1,0,0,6,0,1,0
Botafogo,263,Pedro Raul Garay da Silva,pedro-raul,Pedro Raul,5,7,8.6,7.3,0.71,2.89,16,0,25,0,1,0,0,0,0,0,20,79,1,0,9,16,3,2,0
Botafogo,263,Victor Luis Chuab Zamblauskas,victor-luis,Victor Luis,2,3,-2.6,9.03,-0.93,4.08,17,0,17,0,1,1,3,0,0,0,16,141,1,0,5,4,2,0,1
Botafogo,263,Kevin Peterson dos Santos Silva,kevin,Kevin ,2,7,4.2,3.46,1.02,1.37,17,0,18,1,2,0,2,0,0,0,18,228,1,0,3,1,0,1,0
Botafogo,263,Iván Darío Angulo Cortés,ivan-angulo,Iván Angulo,5,5,0,2.09,0,-5.6,1,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Botafogo,263,Rafael Forster,rafael-forster,Rafael Forster,3,7,0,3.09,0,1.04,15,0,14,0,2,1,3,0,0,0,13,70,0,0,1,5,0,0,0
Botafogo,263,Matheus Nascimento de Paula,matheus-nascimento,Matheus Nascimento,5,6,0,0.77,0,-0.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botafogo,263,Eduardo de Souza Barroca,eduardo-barroca,Eduardo Barroca,6,7,1.97,3.99,0.08,1.61,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botafogo,263,Victor Hugo Soares dos Santos,kanu,Kanu,3,7,-0.2,5.17,0.06,2.65,21,0,16,0,3,0,4,0,0,0,22,59,1,0,2,4,0,0,0
Botafogo,263,Rafael Navarro Leal,rafael-navarro,Rafael Navarro,5,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botafogo,263,Marcelo da Conceição Benevenuto Malaquias,marcelo-benevenuto,Marcelo Benevenuto,3,7,0,6.55,0,2.33,19,0,15,0,5,0,4,0,0,0,13,58,1,0,1,9,0,1,0
Botafogo,263,Eber Henrique Ferreira de Bessa,eber-bessa,Éber Bessa,4,6,3,2.94,0.37,1.36,5,0,6,0,0,0,0,0,0,0,10,18,0,0,1,3,0,0,0
Botafogo,263,Romildo Del Piage de Souza,romildo,Romildo,4,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botafogo,263,David Sousa Albino,david-sousa,David Sousa,3,6,0,1.1,0,0.38,5,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
Botafogo,263,Sebastião Ênio Santos de Almeida,enio,Ênio,4,6,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botafogo,263,Davi Machado dos Santos Araújo,davi-araujo,Davi Araújo,5,6,0,1.16,0,1.1,7,0,8,0,1,0,0,0,0,0,13,20,0,0,2,1,0,0,0
Botafogo,263,Carlos Enrique Rentería Olaya,renteria,Rentería,4,6,0,5.31,0,0.96,8,0,8,0,1,0,0,0,0,0,4,15,0,0,2,1,0,0,0
Botafogo,263,Hugo Gonçalves Ferreira Neto,hugo,Hugo,2,6,0,2.01,0,4.9,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Botafogo,263,Gustavo Cascardo de Assis,cascardo,Cascardo,2,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botafogo,263,Fernando Peixoto Costanza,fernando,Fernando,2,6,0,3.2,0,3.15,2,0,1,0,1,0,1,0,0,0,1,7,0,0,0,0,0,0,0
Botafogo,263,Diego Terra Loureiro,diego-loureiro,Diego Loureiro,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botafogo,263,Lucas Barros da Cunha,lucas-barros,Lucas Barros,2,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botafogo,263,Rhuan Silveira Castro,rhuan,Rhuan,5,6,-2.5,2.46,-0.59,1.84,17,0,7,0,2,0,0,0,0,0,24,33,1,1,5,10,0,2,0
Botafogo,263,Alexander Lecaros Aragón,lecaros,Lecaros,5,6,0,2.33,0,0.05,2,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0
Botafogo,263,Matheus Barcelos da Silva,matheus-babi,Matheus Babi,5,6,0,7.94,-0.14,3.85,21,0,47,0,5,0,0,0,0,0,52,85,1,2,8,9,6,8,0
Botafogo,263,Warley Leandro da Silva,warley,Warley,5,7,0.3,2.45,-1.06,1.3,6,0,7,0,1,0,0,0,0,0,6,7,0,0,1,1,1,0,0
Botafogo,263,Lucas da Silva Ribeiro Campos,lucas-campos,Lucas Campos,5,6,0,1.85,0,1.5,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Botafogo,263,Andrew da Silva Ventura,andrew,Andrew,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botafogo,263,Wendel Lessa de Macedo Gonçalves,wendel,Wendel,4,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botafogo,263,Wesley Júnior da Silva Araújo,wesley,Wesley ,3,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botafogo,263,João Victor Vaz Lopes Pinto,vitinho,Vitinho,5,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botafogo,263,Maxuel De Cassio Da Silva,maxuel,Maxuel,5,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botafogo,263,Elivelton Guedes Alves da Silva,elivelton,Elivelton ,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botafogo,263,Caio Alexandre Souza e Silva,caio-alexandre,Caio Alexandre,4,7,3.2,6.52,0.33,2.81,21,0,30,0,5,0,0,0,0,0,33,99,0,0,5,11,4,3,0
Botafogo,263,César Coelho Campos Júnior,cesinha,Cesinha,4,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botafogo,263,Helerson Mateus do Nascimento,helerson,Helerson,3,6,-0.2,0.78,-0.22,-0.2,1,0,2,0,0,0,0,0,0,0,1,5,0,0,0,1,0,0,0
Botafogo,263,Kelvin Mateus de Oliveira,kelvin,Kelvin,5,5,0,3.33,0,1.07,3,0,3,0,0,0,0,0,0,0,6,15,0,0,1,0,0,0,0
Corinthians,264,Fagner Conserva Lemos,fagner,Fagner,2,7,7.7,11.82,-0.69,3.74,16,0,21,0,2,1,5,0,0,0,15,182,0,0,5,5,1,2,0
Corinthians,264,Fábio Santos Romeu,fabio-santos,Fábio Santos,2,7,12.2,8.06,1.19,5.52,9,0,6,0,0,0,6,0,0,0,3,47,0,0,0,1,1,0,0
Corinthians,264,Luan Guilherme de Jesus Vieira,luan,Luan,4,6,2.4,7.11,-0.27,2.34,13,0,11,0,1,0,0,0,0,0,12,85,1,1,4,7,1,0,0
Corinthians,264,Carlos Gilberto do Nascimento Silva,gil,Gil,3,7,5.5,6.6,-0.25,3.13,18,0,15,1,2,0,6,0,0,0,10,76,1,1,1,2,1,1,0
Corinthians,264,Cássio Roberto Ramos,cassio,Cássio,1,7,7.4,8.35,0.1,1.06,18,0,1,0,1,1,5,16,0,25,1,139,0,0,0,0,0,0,0
Corinthians,264,Cauê Vinicius dos Santos,caue,Cauê,5,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corinthians,264,Igor Marques Paciência Cardoso,igor-formiga,Igor Formiga,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corinthians,264,Vagner Carmo Mancini,vagner-mancini,Vagner Mancini,6,7,8.02,8.16,0.64,3.54,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corinthians,264,Michel Macedo Rocha Machado,michel,Michel,2,6,0,4.76,0,2.7,4,0,1,0,0,0,1,0,0,0,6,20,0,0,1,2,0,1,0
Corinthians,264,Rómulo Otero Vásquez,otero,Otero,4,7,12.4,12.23,2.48,3.54,11,0,16,0,5,1,0,0,0,0,32,72,1,2,9,11,1,1,0
Corinthians,264,Juan Ramón Cazares Sevillano,cazares,Cazares,4,7,3.1,9.12,-0.22,1.45,7,0,2,0,1,0,0,0,0,0,3,26,1,1,1,0,0,0,0
Corinthians,264,Mateus da Silva Vital Assumpção,mateus-vital,Mateus Vital,4,6,1,5.03,-0.29,2.07,10,0,1,0,2,0,0,0,0,0,16,18,0,0,3,3,1,0,0
Corinthians,264,Everaldo Silva do Nascimento,everaldo,Everaldo ,5,6,0,4.2,0,3.08,5,0,5,0,0,0,0,0,0,0,4,15,0,0,2,5,1,0,0
Corinthians,264,Éderson José dos Santos Lourenço da Silva,ederson,Éderson,4,6,0,5.18,0,2.26,13,0,12,0,0,0,0,0,0,0,15,30,0,0,3,3,0,0,0
Corinthians,264,Leonardo Rodrigues dos Santos,leo-santos,Léo Santos,3,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corinthians,264,Bruno Méndez Cittadini,bruno-mendez,Bruno Méndez,3,7,5.2,2.81,0.17,0.63,6,0,5,0,2,1,3,0,0,0,1,32,0,0,0,0,0,0,0
Corinthians,264,Matheus Alvarenga de Oliveira,davo,Davó,5,6,0,1.96,0,3.7,4,0,4,0,1,0,0,0,0,0,2,12,0,0,2,2,2,4,0
Corinthians,264,Thiago Beserra dos Santos,thiaguinho,Thiaguinho,4,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corinthians,264,Víctor Danilo Cantillo Jiménez,cantillo,Cantillo,4,5,8.4,6.35,1.57,1.65,13,0,14,0,2,0,0,0,0,0,12,41,2,0,2,4,0,0,0
Corinthians,264,Gustavo Henric da Silva,gustavo-mosquito,Gustavo Mosquito,5,6,3.3,3.24,0.37,1.73,13,0,8,0,0,0,0,0,0,0,13,34,0,0,2,5,1,0,0
Corinthians,264,Leonardo Natel Vieira,leo-natel,Léo Natel,5,2,3.6,4.57,0.64,1.93,16,0,26,0,1,0,0,0,0,0,11,69,1,0,5,8,2,4,0
Corinthians,264,Ángelo Giovanni Araos Llanos,araos,Araos,4,6,0,6.35,0,2.95,8,0,8,0,2,0,0,0,0,0,9,35,2,0,2,4,1,0,0
Corinthians,264,Danilo Fernando Avelar,danilo-avelar,Danilo Avelar,3,5,0,6.45,0,2.83,10,0,15,0,1,1,2,0,0,0,4,39,0,0,6,2,2,0,0
Corinthians,264,Guilherme Vicentini Castellani,guilherme,Guilherme,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corinthians,264,Lucas Piton Crivellaro,lucas-piton,Lucas Piton,2,6,5.7,5.22,0.26,3.11,13,0,14,0,1,0,4,0,0,0,8,104,2,0,2,3,0,0,0
Corinthians,264,Renê dos Santos Júnior,rene-junior,Renê Júnior,4,6,0,1.6,0,-0.7,3,0,5,0,0,1,0,0,0,0,2,4,0,0,0,1,0,0,0
Corinthians,264,João Vitor Xavier de Almeida,xavier,Xavier,4,2,0,1.1,0,1.72,5,0,9,0,2,0,0,0,0,0,1,14,1,0,1,1,0,0,0
Corinthians,264,Roni Medeiros de Moura,roni,Roni,4,6,0,0.78,0,-1.77,3,0,8,0,2,0,0,0,0,0,3,6,0,0,0,1,0,0,0
Corinthians,264,Ruan de Oliveira Ferreira,ruan,Ruan,4,5,0,1.22,0,0.77,4,0,2,0,0,0,0,0,0,0,2,7,0,0,0,1,0,0,0
Corinthians,264,Igor Morais Carvalho,igor,Igor,3,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corinthians,264,Raul Gustavo Pereira Bicalho,raul-gustavo,Raul Gustavo,3,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corinthians,264,Matheus Planelles Donelli,matheus-donelli,Matheus Donelli,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corinthians,264,Ronald Eugenio de Carvalho,ronald,Ronald,3,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corinthians,264,Gabriel Pereira dos Santos,gabriel-pereira,Gabriel Pereira,4,6,0,0.83,0,0.2,1,0,1,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0
Corinthians,264,Jemerson de Jesus Nascimento,jemerson,Jemerson,3,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corinthians,264,Jonathan Renato Barbosa,jonathan-cafu,Jonathan Cafu,5,6,0,4.67,0,1.85,2,0,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0
Corinthians,264,Marllon Gonçalves Jerônimo Borges,marllon,Marllon,3,6,0,4.7,0,2.2,6,0,5,0,0,1,3,0,0,0,1,10,0,0,1,0,0,0,0
Corinthians,264,Gustavo Mantuan,gustavo-mantuan,Gustavo Mantuan,4,5,0,2.9,0,1.7,3,0,4,0,0,0,0,0,0,0,4,9,0,0,1,1,0,0,0
Corinthians,264,Gabriel Girotto Franco,gabriel,Gabriel,4,7,5.9,5.38,-0.12,2.34,16,0,24,0,5,0,0,0,0,0,15,68,1,0,1,2,0,0,0
Corinthians,264,Walter Leandro Capeloza Artune,walter,Walter,1,6,0,8.21,0,17.9,1,0,0,0,2,0,1,4,0,0,0,11,0,0,0,0,0,0,0
Corinthians,264,João Alves de Assis Silva,jo,Jô,5,2,0,10.67,0,2.51,13,0,9,0,0,0,0,0,0,0,13,49,1,1,5,5,3,5,1
Corinthians,264,Mauro Boselli,boselli,Boselli,5,6,0,5.25,0,0.13,7,0,1,0,0,0,0,0,0,0,1,7,0,0,0,2,0,0,0
Corinthians,264,Guilherme de Aguiar Camacho,camacho,Camacho,4,2,4,3.29,0.67,0.74,12,0,16,0,2,0,0,0,0,0,2,22,0,1,1,1,0,0,0
Corinthians,264,Ramiro Moschen Benetti,ramiro,Ramiro,4,7,0.4,5.91,-0.74,2.23,15,0,28,0,5,0,0,0,0,0,12,95,1,1,3,6,1,1,0
Bahia,265,Gilberto Oliveira Souza Júnior,gilberto,Gilberto,5,7,4.7,8.88,0.65,3.77,18,0,16,0,2,0,0,0,0,0,27,61,1,1,19,18,3,5,1
Bahia,265,José Carlos Ferreira Júnior,juninho,Juninho,3,7,-0.5,7.43,-0.54,2.08,18,0,4,0,1,1,2,0,0,0,6,70,0,0,2,4,1,1,0
Bahia,265,Lucas Fonseca da Silva,lucas-fonseca,Lucas Fonseca,3,6,0,4.57,0,1.82,8,0,5,0,1,0,2,0,0,0,4,30,0,0,1,1,0,0,0
Bahia,265,Rodrigo Eduardo Costa Marinho,rodriguinho,Rodriguinho,4,6,4.7,14.16,-0.03,4.31,15,0,11,0,1,0,0,0,0,0,29,87,1,1,9,10,4,3,0
Bahia,265,Jefferson Gabriel Nascimento Brito,fessin,Fessin,4,6,0,2.01,-0.13,1.82,10,0,4,0,0,0,0,0,0,0,8,19,0,0,4,4,0,0,0
Bahia,265,Alesson dos Santos Batista,alesson,Alesson,4,6,0,0.96,0,0.49,8,0,5,0,1,0,0,0,0,0,7,14,0,0,1,2,0,1,0
Bahia,265,Matheus Bonifácio Saldanha Marinho,saldanha,Saldanha,5,6,0,2.19,0,1.23,13,0,6,0,1,0,0,0,0,0,7,16,0,1,1,8,1,3,0
Bahia,265,Gabriel Novaes Fernandes,gabriel-novaes,Gabriel Novaes,5,6,0.2,2.55,-0.25,0.8,2,0,2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Bahia,265,Lucimário Bezerra da Silva,lucimario,Lucimário,3,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahia,265,Vinícius de Azevedo Barcellos,vinicius-barcellos,Vinícius Barcellos,3,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahia,265,Anderson Vieira Martins,anderson-martins,Anderson Martins,3,2,0.4,4.61,-0.07,0.77,4,0,5,0,1,0,1,0,0,0,2,4,0,0,0,0,0,0,0
Bahia,265,Matheus Bahia Santos,matheus-bahia,Matheus Bahia,2,6,2,1.43,-0.54,2.76,5,0,9,0,1,0,0,0,0,0,4,29,1,0,2,1,0,0,0
Bahia,265,João Vitor Cézar do Prado,joao-vitor,João Vitor,4,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahia,265,Hélio Júnior Rossi Francino,helio-junior,Hélio Júnior,2,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahia,265,Jaques Bonfim Nazaré Neto,jaques,Jaques,3,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahia,265,Thiago Eduardo de Andrade,thiago-andrade,Thiago Andrade,5,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
