grouping_key,clube_id,nome,slug,apelido,atleta_id,rodada_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,RB,FC,GC,CA,CV,SG,DD,DP,GS,FS,PI,A,FT,FD,FF,G,I,PP
Internacional,285,Rodrigo Dourado Cunha,rodrigo-dourado,Rodrigo Dourado,78865,21,4,6,0.4,4.43,0.29,-0.05,4,0,2,0,1,0,0,0,0,0,1,7,0,0,0,0,0,0,0
Internacional,285,Marcelo Lomba do Nascimento,marcelo-lomba,Marcelo Lomba,68872,21,1,7,3.6,9.35,1.27,1.07,21,0,0,0,2,0,8,12,0,20,3,241,0,0,0,0,0,0,0
Internacional,285,Pedro Henrique Alves Santana,pedro-henrique,Pedro Henrique,105840,21,3,6,0,0.77,0,-1,1,0,2,0,1,0,0,0,0,0,1,7,0,0,1,0,0,0,0
Internacional,285,Víctor Leandro Cuesta,victor-cuesta,Víctor Cuesta,79113,21,3,7,0.1,9.85,-0.24,2.14,19,0,30,0,7,0,8,0,0,0,20,134,0,0,1,0,0,0,0
Internacional,285,Bruno Conceição Praxedes,praxedes,Praxedes,107744,21,4,6,0.5,0.78,0,-0.29,8,0,10,0,3,0,0,0,0,0,4,42,0,0,0,3,0,1,0
Internacional,285,Matheus Isaías dos Santos,matheus-jussa,Matheus Jussa,91689,21,3,6,0,2.32,0,0.9,2,0,5,0,2,0,1,0,0,0,1,12,0,0,0,0,0,0,0
Internacional,285,Tiago Barbosa Figueiredo,tiago-barbosa,Tiago Barbosa,107742,21,3,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Internacional,285,Carlos Eduardo da Silva Rodrigues Lima,carlos-eduardo,Carlos Eduardo,107756,21,3,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Internacional,285,Leonardo Borges da Silva,leonardo-borges,Leonardo Borges,105839,21,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Internacional,285,José Gabriel dos Santos Silva,ze-gabriel,Zé Gabriel,105902,21,4,2,2.9,3.04,0.33,1.54,17,0,17,0,1,1,0,0,0,0,14,82,0,0,0,1,0,0,0
Internacional,285,Yuri Alberto Monteiro da Silva,yuri-alberto,Yuri Alberto,100652,21,5,7,1.1,2.44,-0.95,2.21,7,0,8,0,1,0,0,0,0,0,1,11,0,0,4,1,2,1,0
Internacional,285,Andrés Felipe Amaya Rivera,amaya,Amaya,109656,21,5,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Internacional,285,Maurício Magalhães Prado,mauricio,Maurício,105647,21,4,7,0.3,4.01,-0.99,0.3,1,0,1,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0
Internacional,285,Lucas de Ramos Silveira,lucas-ramos,Lucas Ramos,106000,21,4,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Internacional,285,Abel Mathías Hernández Platero,abel-hernandez,Abel Hernández,74159,21,5,5,1.8,7.74,-0.65,2.98,14,0,10,0,1,0,0,0,0,0,8,29,1,0,6,8,2,2,0
Internacional,285,Lucas Ribeiro dos Santos,lucas-ribeiro,Lucas Ribeiro,103088,21,3,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Internacional,285,Lucas Henrique Mazetti,mazetti,Mazetti,107741,21,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Internacional,285,Leonardo Ferreira Gonçalves,leo-ferreira,Léo Ferreira,107760,21,5,6,0,1.45,0,1.5,1,0,1,0,0,0,0,0,0,0,1,4,0,0,0,3,0,1,0
Internacional,285,Leandro Miguel Fernández,leandro-fernandez,Leandro Fernández,93303,21,5,6,1.2,6.42,0.26,1.92,4,0,5,0,1,0,0,0,0,0,5,22,1,0,3,6,0,3,0
Internacional,285,Abel Carlos da Silva Braga,abel-braga,Abel Braga,40006,21,6,7,1.58,10.57,-2.02,1.58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Internacional,285,Caio Vidal Rocha,caio,Caio,107745,21,5,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goiás,290,Rafael Martiniano de Miranda Moura,rafael-moura,Rafael Moura,37655,21,5,6,-3.4,5.1,-0.71,1.91,12,0,22,0,3,0,0,0,0,0,10,56,0,0,6,6,4,15,0
Goiás,290,José Fernando Viana de Santana,fernandao,Fernandão,62033,21,5,7,-3.5,3.73,-2.07,1.53,6,0,5,0,1,0,0,0,0,0,2,20,0,0,2,6,1,3,0
Goiás,290,Gustavo Blanco Petersen Macedo,gustavo-blanco,Gustavo Blanco,91191,21,4,7,0,4.68,-1.32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goiás,290,Gilberto dos Santos Souza Júnior,gilberto,Gilberto,73789,21,4,6,2.5,2.84,0.3,0.63,7,0,9,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0
Goiás,290,Miguel Ferreira Damasceno,miguel-figueira,Miguel Figueira,102565,21,4,6,0,1.37,0,0.52,6,0,9,0,1,0,0,0,0,0,4,12,1,0,0,1,0,0,0
Goiás,290,Kaio Nunes Ferreira,kaio,Kaio,102563,21,4,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goiás,290,Kevin Martín Quevedo Mathey,quevedo,Quevedo,102197,21,5,6,0,0.85,0,0.4,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Goiás,290,Sandro Raniere Guimarães Cordeiro,sandro,Sandro,62111,21,4,6,2.9,3.12,0.42,0.42,9,0,15,0,3,0,0,0,0,0,7,23,0,1,0,2,0,1,0
Goiás,290,Henrique Almeida Caixeta Nascentes,henrique-almeida,Henrique Almeida,68773,21,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goiás,290,Daniel Sartori Bessa,daniel-bessa,Daniel Bessa,103591,21,4,5,0,6.46,0,2.65,12,0,19,0,3,0,0,0,0,0,9,74,0,1,4,4,2,0,0
Goiás,290,Iago Pereira Mendonça,iago-mendonca,Iago Mendonça,105278,21,3,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goiás,290,Breno Washington Rodrigues da Silva,breno,Breno,106083,21,4,7,0,2.84,0,1.77,13,0,29,0,3,1,0,0,0,0,12,40,0,1,1,4,0,0,0
Goiás,290,Fábio Pizarro Sanches,fabio-sanches,Fábio Sanches,71604,21,3,7,0,5.78,0,2.5,13,0,9,1,1,0,3,0,0,0,11,31,0,0,1,3,0,0,0
Goiás,290,Heron Crespo da Silva,heron,Heron,105339,21,3,6,0.4,0.78,-0.01,-0.33,10,0,8,0,2,0,0,0,0,0,3,28,0,0,0,0,0,0,0
Goiás,290,Daniel Alberto Villalva Barrios,keko,Keko ,81683,21,5,7,1.9,2.81,0.03,1.72,12,0,10,0,2,0,0,0,0,0,18,71,2,1,1,5,0,3,0
Goiás,290,Victor Andrade Santos,victor-andrade,Victor Andrade,80536,21,5,6,0,5.41,0,3.16,9,0,17,0,4,0,0,0,0,0,28,25,0,0,1,9,2,0,0
Goiás,290,Marcelo Rangel da Rosa,marcelo-rangel,Marcelo Rangel,82730,21,1,6,0,0.77,0,-3.45,2,0,0,0,1,0,0,1,0,3,0,29,0,0,0,0,0,0,0
Goiás,290,Wanderson de Jesus Martins,caju,Caju,89342,21,2,6,2.6,3.85,0.43,2.49,11,0,8,0,0,0,2,0,0,0,7,95,1,0,1,4,0,0,0
Goiás,290,Lucas Vinícius Gonçalves Silva,lucao-do-break,Lucão do Break,83199,21,5,6,0,1.92,0,-2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goiás,290,Matheus Alves da Silva Cardoso,matheus-alves,Matheus Alves,91712,21,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goiás,290,Jefferson Junio Antônio da Silva,jefferson,Jefferson,95220,21,2,7,0,5.37,0,1.83,9,0,7,1,1,1,2,0,0,0,7,56,0,0,0,2,1,1,0
Goiás,290,Filipe Cândido da Trindade,filipe-trindade,Filipe Trindade,105341,21,4,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goiás,290,David de Duarte Macedo,david-duarte,David Duarte,91772,21,3,7,0.4,3.72,-0.04,2.68,11,0,6,0,1,1,2,0,0,0,4,63,0,0,3,4,1,0,0
Goiás,290,José Joaquim de Carvalho,zeca,Zeca,94976,21,5,6,0,0.75,0,-1.07,3,0,3,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0
Goiás,290,Matheus Rezende Assis,rezende,Rezende,93798,21,4,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goiás,290,Tadeu Antônio Ferreira,tadeu,Tadeu,82453,21,1,7,6,8.82,-0.12,3.12,15,0,1,0,0,0,3,23,1,28,3,135,0,0,1,0,0,0,0
Goiás,290,Juan de Dios Pintado Leines,pintado,Pintado,107565,21,2,6,-0.2,2.61,-0.87,2.14,11,0,16,0,4,0,1,0,0,0,11,53,0,0,1,2,0,1,0
